"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.535589457E1,1.932478333E1,-9.917924000E1,2.277451882E3,2.269600000E3,7.792894244E-1,7.798999786E1,1.682857108E-1,1.799999952E0,1.560000038E1,2.200000000E1
9.635589457E1,1.932478500E1,-9.917923500E1,2.276851868E3,2.269000000E3,7.170080543E-1,8.993000031E1,1.688103607E-1,1.799999952E0,1.610000038E1,2.200000000E1
9.735589457E1,1.932478500E1,-9.917923000E1,2.275951858E3,2.268100000E3,6.732566953E-1,1.036900024E2,1.692201965E-1,1.799999952E0,1.589999962E1,2.200000000E1
9.835589457E1,1.932478833E1,-9.917922833E1,2.275151847E3,2.267300000E3,5.867833495E-1,1.099000015E2,1.696160272E-1,1.799999952E0,1.600000000E1,2.200000000E1
9.935589457E1,1.932479000E1,-9.917922500E1,2.274451837E3,2.266600000E3,5.718563795E-1,6.494000244E1,1.702728715E-1,1.799999952E0,1.610000038E1,2.200000000E1
1.003558946E2,1.932479500E1,-9.917922833E1,2.273251832E3,2.265400000E3,5.466349721E-1,8.156999969E1,1.714338966E-1,2.400000095E0,1.600000000E1,2.200000000E1
1.013558946E2,1.932480333E1,-9.917923500E1,2.272151827E3,2.264300000E3,5.368552804E-1,8.873999786E1,1.724700972E-1,2.200000048E0,1.560000038E1,2.200000000E1
1.023558946E2,1.932479833E1,-9.917922667E1,2.272251821E3,2.264400000E3,5.394288898E-1,5.413000107E1,1.730529282E-1,2.000000000E0,1.580000019E1,2.200000000E1
1.033558946E2,1.932480333E1,-9.917922833E1,2.271851813E3,2.264000000E3,5.579589009E-1,3.234999847E1,1.734026947E-1,1.899999976E0,1.560000038E1,2.200000000E1
1.043558946E2,1.932480333E1,-9.917922500E1,2.272051807E3,2.264200000E3,5.589883327E-1,2.209000015E1,1.735775780E-1,1.799999952E0,1.580000019E1,2.200000000E1
1.053558946E2,1.932480333E1,-9.917922333E1,2.271951803E3,2.264100000E3,5.558999777E-1,3.443000031E1,1.737524613E-1,1.799999952E0,1.589999962E1,2.200000000E1
1.063558946E2,1.932480333E1,-9.917922167E1,2.271851800E3,2.264000000E3,5.600177646E-1,3.053000069E1,1.739273445E-1,1.799999952E0,1.550000000E1,2.200000000E1
1.073558946E2,1.932480333E1,-9.917922000E1,2.271851797E3,2.264000000E3,5.450908542E-1,1.152000046E1,1.743231752E-1,1.700000048E0,1.569999981E1,2.100000000E1
1.083558946E2,1.932480500E1,-9.917921667E1,2.272251786E3,2.264400000E3,5.790625215E-1,9.159999847E0,1.745779878E-1,1.799999952E0,1.580000019E1,2.000000000E1
1.093558946E2,1.932480667E1,-9.917921500E1,2.272751779E3,2.264900000E3,5.703122020E-1,1.259000015E1,1.758074953E-1,1.799999952E0,1.550000000E1,2.100000000E1
1.103558946E2,1.932481667E1,-9.917922000E1,2.273051767E3,2.265200000E3,5.795772076E-1,6.500000000E0,1.760623079E-1,1.799999952E0,1.530000019E1,2.100000000E1
1.113558946E2,1.932481833E1,-9.917921833E1,2.273651760E3,2.265800000E3,6.361966729E-1,4.900000095E-1,1.774059063E-1,1.799999952E0,1.569999981E1,2.000000000E1
1.123558946E2,1.932483000E1,-9.917922167E1,2.274051740E3,2.266200000E3,6.748008132E-1,1.669000053E1,1.787495048E-1,1.799999952E0,1.589999962E1,2.100000000E1
1.133558946E2,1.932484167E1,-9.917922500E1,2.274051720E3,2.266200000E3,6.876688600E-1,3.595499878E2,1.793918742E-1,1.799999952E0,1.610000038E1,2.100000000E1
1.143558946E2,1.932484500E1,-9.917922000E1,2.274451703E3,2.266600000E3,7.556121945E-1,3.940000057E0,1.807008831E-1,1.899999976E0,1.629999924E1,2.000000000E1
1.153558946E2,1.932485667E1,-9.917921833E1,2.274351673E3,2.266500000E3,7.900986075E-1,3.558000183E1,1.816913221E-1,1.899999976E0,1.639999962E1,1.800000000E1
1.163558946E2,1.932486500E1,-9.917921500E1,2.274051647E3,2.266200000E3,8.492916822E-1,9.539999962E0,1.828569840E-1,1.899999976E0,1.889999962E1,1.900000000E1
1.173558946E2,1.932487500E1,-9.917921167E1,2.274251618E3,2.266400000E3,9.280441403E-1,5.389999866E0,1.839218267E-1,2.000000000E0,1.900000000E1,1.800000000E1
1.183558946E2,1.932488333E1,-9.917920667E1,2.274751589E3,2.266900000E3,9.990758300E-1,3.597999878E2,1.854945177E-1,2.000000000E0,2.020000076E1,2.000000000E1
